-------------------- starting training ---------------------
finishing episode #1; episode reward: -0.1947033197597262
finishing episode #2; episode reward: -0.07796027735981648
finishing episode #3; episode reward: -0.19583212207060796
finishing episode #4; episode reward: -0.28275660794447044
finishing episode #5; episode reward: 0.04433002866898905
finishing episode #6; episode reward: 0.1761196257007286
finishing episode #7; episode reward: 0.02344246999252919
finishing episode #8; episode reward: 0.02700129498923154
finishing episode #9; episode reward: -0.011857425484368744
finishing episode #10; episode reward: 0.11211153080418568
finishing episode #11; episode reward: -0.010438641252097591
finishing episode #12; episode reward: 0.044526411967030666
finishing episode #13; episode reward: 0.268689695677355
finishing episode #14; episode reward: 0.021645297178858214
finishing episode #15; episode reward: 0.13759738477185546
finishing episode #16; episode reward: -0.15515493635086985
finishing episode #17; episode reward: -0.1785689588320618
finishing episode #18; episode reward: 0.16391742296604173
finishing episode #19; episode reward: -0.02134393264849921
finishing episode #20; episode reward: -0.12503738744631832
finishing episode #21; episode reward: -0.09601019859595739
finishing episode #22; episode reward: 0.1300786700044464
finishing episode #23; episode reward: 0.08088142528200237
finishing episode #24; episode reward: -0.025050993268928123
finishing episode #25; episode reward: 0.14847254952448707
finishing episode #26; episode reward: 0.1870125390542987
finishing episode #27; episode reward: -0.06640373347354456
finishing episode #28; episode reward: 0.15651325881735934
finishing episode #29; episode reward: 0.07700344777975443
finishing episode #30; episode reward: 0.18038499511260464
finishing episode #31; episode reward: 0.06062048309500423
finishing episode #32; episode reward: 0.018127836805905906
finishing episode #33; episode reward: 0.2904063977550482
finishing episode #34; episode reward: 0.1836008169813157
finishing episode #35; episode reward: 0.20453756462011818
finishing episode #36; episode reward: 0.06629820051713953
finishing episode #37; episode reward: 0.1188287023344603
finishing episode #38; episode reward: 0.23877284399874632
finishing episode #39; episode reward: 0.283066100854104
finishing episode #40; episode reward: 0.14594317048534367
finishing episode #41; episode reward: 0.019841281506905895
finishing episode #42; episode reward: 0.2764649151069597
finishing episode #43; episode reward: 0.30213454418724206
finishing episode #44; episode reward: 0.41890022673942584
finishing episode #45; episode reward: 0.15128895379203122
finishing episode #46; episode reward: 0.304343008386745
finishing episode #47; episode reward: 0.3353979699429285
finishing episode #48; episode reward: 0.19961941648892778
finishing episode #49; episode reward: 0.2610462867632375
finishing episode #50; episode reward: 0.2490964605428837
finishing episode #51; episode reward: 0.23837695255248126
finishing episode #52; episode reward: 0.15983274326622432
finishing episode #53; episode reward: 0.33649646895021923
finishing episode #54; episode reward: 0.13417897503275467
finishing episode #55; episode reward: 0.18498775531680334
finishing episode #56; episode reward: 0.17607358228153436
finishing episode #57; episode reward: 0.16775993176309756
finishing episode #58; episode reward: 0.23439947575943554
finishing episode #59; episode reward: 0.2718972467587121
finishing episode #60; episode reward: 0.33109739364496094
finishing episode #61; episode reward: 0.310051220531532
finishing episode #62; episode reward: 0.2906136517342478
finishing episode #63; episode reward: 0.3540326224240026
finishing episode #64; episode reward: 0.3717827976791156
finishing episode #65; episode reward: 0.288856819396738
finishing episode #66; episode reward: 0.36101067942546683
